,#16
2018-10-01,333196.87
2018-11-01,266225.86
2018-12-01,266225.86
2019-01-01,266225.86
2019-02-01,257765.04
2019-03-01,266225.86
2019-04-01,224501.9
2019-05-01,353451.54
2019-06-01,367425.38
2019-07-01,266225.86
2019-08-01,266225.86
2019-09-01,266225.86
2019-10-01,285644.67
2019-11-01,291844.03
2019-12-01,66419.16000000003
2020-01-01,384800.46
2020-02-01,82821.54000000001
2020-03-01,160397.35
2020-04-01,70530.7
2020-05-01,195141.7
2020-06-01,269150.4
2020-07-01,409170.11
2020-08-01,153289.44
2020-09-01,209186.6
2020-10-01,145276.08000000002
2020-11-01,160941.78
2020-12-01,260089.25
2021-01-01,40360.08
2021-02-01,117004.3
2021-03-01,309564.27
2021-04-01,125710.70999999999
