,#4_RollingMean_6
2018-10-01,
2018-11-01,
2018-12-01,
2019-01-01,
2019-02-01,
2019-03-01,465838.88999999996
2019-04-01,470582.3316666667
2019-05-01,471307.19
2019-06-01,431410.555
2019-07-01,414260.7349999999
2019-08-01,361251.00666666665
2019-09-01,353201.96166666667
2019-10-01,297702.7916666667
2019-11-01,284759.4766666666
2019-12-01,298967.31
2020-01-01,271858.73
2020-02-01,259073.515
2020-03-01,218127.04166666666
2020-04-01,267245.98500000004
2020-05-01,270158.86833333335
2020-06-01,279069.33666666667
2020-07-01,291681.055
2020-08-01,282962.73833333334
2020-09-01,357527.325
2020-10-01,348304.635
2020-11-01,364649.49499999994
2020-12-01,360285.93333333335
2021-01-01,338781.29666666663
2021-02-01,444582.38833333337
2021-03-01,412398.62333333335
2021-04-01,406291.1366666667
