,#6_Lag_1
2018-10-01,
2018-11-01,369231.6
2018-12-01,473046.95999999996
2019-01-01,999472.6900000002
2019-02-01,598874.1
2019-03-01,542037.52
2019-04-01,735604.23
2019-05-01,277575.12
2019-06-01,315978.77
2019-07-01,282963.19
2019-08-01,725411.99
2019-09-01,206931.16999999998
2019-10-01,499147.73
2019-11-01,581767.8500000001
2019-12-01,181159.2
2020-01-01,913378.8
2020-02-01,-15202.959999999977
2020-03-01,724398.75
2020-04-01,529808.94
2020-05-01,782042.98
2020-06-01,750367.7
2020-07-01,526425.18
2020-08-01,730187.6799999999
2020-09-01,847092.87
2020-10-01,316929.21
2020-11-01,313535.91000000003
2020-12-01,335130.74
2021-01-01,332556.98
2021-02-01,27472.940000000002
2021-03-01,515644.63
2021-04-01,625100.14
