"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2022","117.78","126.36","127.00","111.50","33.67M","-6.27%"
"03/01/2022","125.66","125.00","138.08","105.92","60.02M","-0.79%"
"02/01/2022","126.66","141.18","149.26","120.84","46.90M","-9.45%"
"01/01/2022","139.88","151.82","157.96","136.18","31.83M","-8.38%"
"12/01/2021","152.68","142.70","154.70","141.18","24.91M","8.07%"
"11/01/2021","141.28","140.92","156.98","140.16","34.55M","0.71%"
"10/01/2021","140.28","138.98","143.44","133.70","24.72M","-1.16%"
"09/01/2021","141.92","140.56","151.86","137.74","34.53M","0.77%"
"08/01/2021","140.84","132.72","144.00","132.52","21.95M","7.04%"
"07/01/2021","131.58","134.86","135.74","124.96","26.26M","-1.53%"
"06/01/2021","133.62","133.46","139.24","132.42","29.04M","0.74%"
"05/01/2021","132.64","139.36","145.20","130.02","34.44M","-4.45%"
"04/01/2021","138.82","140.00","145.96","137.94","25.78M","-0.84%"
"03/01/2021","140.00","129.26","141.92","128.26","38.04M","9.39%"
"02/01/2021","127.98","129.12","137.52","126.86","33.16M","0.03%"
"01/01/2021","127.94","118.88","133.26","116.30","39.92M","8.87%"
"12/01/2020","117.52","112.58","119.74","111.36","34.83M","4.93%"
"11/01/2020","112.00","101.52","119.30","100.36","45.31M","11.22%"
"10/01/2020","100.70","108.60","112.90","98.50","36.13M","-6.66%"
"09/01/2020","107.88","105.29","110.88","98.84","48.60M","3.47%"
"08/01/2020","104.26","97.72","108.77","97.72","31.39M","6.78%"
"07/01/2020","97.65","93.17","105.56","92.62","37.55M","3.40%"
"06/01/2020","94.44","90.51","98.66","85.47","59.16M","6.32%"
"05/01/2020","88.82","74.28","91.03","72.31","56.49M","16.36%"
"04/01/2020","76.34","67.61","80.22","66.18","74.27M","9.31%"
"03/01/2020","69.84","83.83","85.86","52.98","150.31M","-16.88%"
"02/01/2020","84.02","100.35","103.09","81.95","59.64M","-16.52%"
"01/01/2020","100.64","104.93","107.18","100.44","41.06M","-4.20%"
"12/01/2019","105.06","105.58","108.09","102.68","39.00M","-0.50%"
"11/01/2019","105.58","93.19","106.62","93.14","44.79M","13.29%"
"10/01/2019","93.19","88.90","95.43","84.76","43.55M","5.22%"
"09/01/2019","88.57","81.60","88.78","80.58","41.83M","8.03%"
"08/01/2019","81.99","86.00","86.40","76.10","60.60M","-8.12%"
"07/01/2019","89.24","95.10","95.86","88.61","45.20M","-5.36%"
"06/01/2019","94.29","91.05","96.92","90.25","37.34M","3.12%"
"05/01/2019","91.44","96.01","98.11","90.98","48.63M","-4.97%"
"04/01/2019","96.22","87.32","96.83","87.25","37.29M","11.26%"
"03/01/2019","86.49","87.35","90.10","84.92","46.60M","-0.20%"
"02/01/2019","86.66","86.20","88.97","81.90","48.05M","0.37%"
"01/01/2019","86.34","87.46","91.30","85.49","52.63M","-1.64%"
"12/01/2018","87.78","93.64","94.38","85.61","48.71M","-4.90%"
"11/01/2018","92.31","91.46","94.51","88.67","48.25M","0.67%"
"10/01/2018","91.70","99.20","100.08","88.80","61.46M","-7.81%"
