TIME_PERIOD,China (People’s Republic of),France,Germany,Italy,Japan,OECD Europe,Switzerland,United Kingdom,United States
2018-11-01,98.45412,100.9598,101.5859,100.8509,101.5088,100.9174,101.8399,102.2486,101.0049
2018-12-01,98.18901,100.852,101.3715,100.7023,101.4458,100.8464,101.6098,102.3394,100.692
2019-01-01,98.12537,100.7477,101.138,100.5383,101.3079,100.6773,101.4533,101.9919,100.5415
2019-02-01,98.23363,100.6161,100.8785,100.4249,101.1329,100.5132,101.3497,101.3867,100.3775
2019-03-01,98.47947,100.5592,100.5933,100.3957,100.9661,100.4004,101.2955,100.765,100.2463
2019-04-01,98.45925,100.5353,100.3271,100.4251,100.8391,100.2865,101.1641,100.1526,100.026
2019-05-01,98.26464,100.6031,100.1039,100.4583,100.74,100.1495,100.9769,99.58679,99.82363
2019-06-01,98.16116,100.4701,99.83164,100.4121,100.6525,99.9551,100.774,99.24728,99.64125
2019-07-01,98.18482,100.2739,99.58361,100.3442,100.5682,99.73546,100.6073,98.86368,99.42289
2019-08-01,98.24573,100.1716,99.41563,100.2815,100.4861,99.62101,100.4652,98.50896,99.14829
2019-09-01,98.36055,100.1117,99.25211,100.2263,100.4102,99.50758,100.3404,98.02803,98.94034
2019-10-01,98.42083,100.1229,99.20591,100.2188,100.3436,99.57677,100.29,98.16537,98.87395
2019-11-01,98.33443,100.1875,99.25149,100.2376,100.2771,99.76842,100.2943,98.5113,98.89565
2019-12-01,97.53813,100.3319,99.36457,100.2375,100.1905,99.91677,100.2902,98.66959,99.00091
2020-01-01,95.8528,100.4601,99.42984,100.0848,100.0535,99.85726,100.173,98.73808,99.16805
2020-02-01,94.27966,99.9379,99.15123,99.54154,99.84661,99.2032,99.84956,98.14634,99.05339
2020-03-01,96.5148,98.53397,98.43016,98.49603,99.52361,97.65602,99.21345,96.42375,98.64474
2020-04-01,98.30811,96.89158,97.65586,97.45926,99.04333,95.83762,98.46373,94.42829,98.19856
2020-05-01,99.15063,96.96441,97.63272,96.84171,98.51799,95.58724,98.15688,93.98078,98.42693
2020-06-01,99.45623,97.97046,98.17185,97.05904,98.10356,96.6329,98.42492,94.99005,99.25802
2020-07-01,99.54837,98.93425,98.90795,97.70665,97.93507,97.95635,98.83104,96.55404,99.96269
2020-08-01,99.61066,99.51467,99.56557,98.41296,97.95119,98.89299,99.16505,97.45731,100.4303
2020-09-01,99.76554,99.5676,100.0401,99.04523,98.1063,99.43092,99.44869,98.32817,100.7303
2020-10-01,99.92666,99.34661,100.3703,99.39116,98.3982,99.71464,99.73013,98.99674,100.9992
2020-11-01,100.071,99.14434,100.5675,99.50414,98.75661,99.75532,99.92045,98.71677,101.1632
2020-12-01,99.99227,99.29278,100.8106,99.80731,99.12276,99.91563,100.1087,98.49593,101.3786
2021-01-01,99.75475,99.5844,101.1553,100.1582,99.4624,100.1195,100.3647,98.45927,101.5576
2021-02-01,99.60085,99.95578,101.6412,100.5698,99.77113,100.516,100.7583,99.58276,101.7959
2021-03-01,99.67635,100.3828,102.1456,101.03,100.0406,101.0948,101.3423,101.4115,101.9941
2021-04-01,99.58633,100.9677,102.5395,101.5247,100.2558,101.6579,101.9409,102.8576,101.9523
2021-05-01,99.43008,101.5292,102.8487,101.981,100.4312,102.1684,102.2482,104.0156,101.87
2021-06-01,99.20774,101.917,103.1513,102.2999,100.5708,102.5624,102.3267,104.7005,101.7342
2021-07-01,98.89126,102.1643,103.3976,102.4746,100.6673,102.7792,102.3684,104.9946,101.601
2021-08-01,98.56118,102.0996,103.5386,102.5347,100.7371,102.8133,102.4625,104.8995,101.5542
2021-09-01,98.29616,101.9823,103.5721,102.6047,100.7896,102.8102,102.6142,104.954,101.5942
2021-10-01,98.24673,102.0409,103.5064,102.6734,100.8231,102.8104,102.713,105.2367,101.5963
2021-11-01,98.47332,102.1664,103.4785,102.663,100.8373,102.8548,102.7905,105.527,101.5148
2021-12-01,98.65394,102.2433,103.5168,102.5781,100.8224,102.848,102.843,105.5047,101.314
2022-01-01,98.62638,102.2629,103.4515,102.3914,100.7659,102.7265,102.857,105.2281,101.1386
2022-02-01,98.3784,102.1437,103.239,102.1604,100.69,102.4905,102.7835,104.8568,101.0267
2022-03-01,97.90446,101.7799,102.8983,101.8877,100.6203,102.1331,102.6419,104.4832,100.8633
2022-04-01,97.53915,101.5007,102.6767,101.7212,100.5745,101.8425,102.5179,104.0835,100.6695
