Date,Price,Change %,Volume
2022-04-01,117.78,-6.27,33670000.0
2022-03-01,125.66,-0.79,60020000.0
2022-02-01,126.66,-9.45,46900000.0
2022-01-01,139.88,-8.38,31830000.0
2021-12-01,152.68,8.07,24910000.0
2021-11-01,141.28,0.71,34550000.0
2021-10-01,140.28,-1.16,24720000.0
2021-09-01,141.92,0.77,34530000.0
2021-08-01,140.84,7.04,21950000.0
2021-07-01,131.58,-1.53,26260000.0
2021-06-01,133.62,0.74,29040000.0
2021-05-01,132.64,-4.45,34440000.0
2021-04-01,138.82,-0.84,25780000.0
2021-03-01,140.0,9.39,38040000.0
2021-02-01,127.98,0.03,33160000.0
2021-01-01,127.94,8.87,39920000.0
2020-12-01,117.52,4.93,34830000.0
2020-11-01,112.0,11.22,45310000.0
2020-10-01,100.7,-6.66,36130000.0
2020-09-01,107.88,3.47,48600000.0
2020-08-01,104.26,6.78,31390000.0
2020-07-01,97.65,3.4,37550000.0
2020-06-01,94.44,6.32,59160000.0
2020-05-01,88.82,16.36,56490000.0
2020-04-01,76.34,9.31,74270000.0
2020-03-01,69.84,-16.88,150310000.0
2020-02-01,84.02,-16.52,59640000.0
2020-01-01,100.64,-4.2,41060000.0
2019-12-01,105.06,-0.5,39000000.0
2019-11-01,105.58,13.29,44790000.0
2019-10-01,93.19,5.22,43550000.0
2019-09-01,88.57,8.03,41830000.0
2019-08-01,81.99,-8.12,60600000.0
2019-07-01,89.24,-5.36,45200000.0
2019-06-01,94.29,3.12,37340000.0
2019-05-01,91.44,-4.97,48630000.0
2019-04-01,96.22,11.26,37290000.0
2019-03-01,86.49,-0.2,46600000.0
2019-02-01,86.66,0.37,48050000.0
2019-01-01,86.34,-1.64,52630000.0
2018-12-01,87.78,-4.9,48710000.0
2018-11-01,92.31,0.67,48250000.0
