Date,China,France,Germany,Italy,Switzerland,United Kingdom,United States of America
2018-10,368.15,3.84,26.43,14.74,0.3,10.65,213.52
2018-11,406.89,5.48,29.52,14.79,0.31,11.74,204.12
2018-12,479.9,4.54,25.1,15.39,0.32,11.93,213.35
2019-01,419.34,6.27,29.35,17.37,0.32,15.13,226.12
2019-02,419.34,4.85,25.22,13.14,0.3,10.32,194.84
2019-03,412.02,3.41,20.07,13.48,0.33,9.69,197.14
2019-04,384.79,2.3,21.09,12.52,0.3,9.91,166.72
2019-05,380.25,2.14,20.25,11.36,0.3,9.57,192.05
2019-06,401.46,1.95,17.62,12.51,0.28,9.19,219.45
2019-07,453.34,3.05,21.27,15.87,0.31,10.03,276.08
2019-08,469.13,2.28,20.67,14.12,0.29,7.55,272.42
2019-09,412.52,3.0,20.37,14.45,0.28,7.78,238.59
2019-10,396.55,3.35,23.98,14.31,0.3,10.31,200.7
2019-11,431.65,5.78,27.13,12.43,0.31,11.97,196.49
2019-12,506.1,4.49,21.43,11.98,0.32,9.84,207.65
2020-01,386.64,5.61,24.69,15.13,0.32,9.92,204.22
2020-02,386.64,3.98,17.59,12.4,0.31,7.68,186.94
2020-03,384.2,3.76,19.32,10.6,0.33,9.06,179.46
2020-04,391.51,0.74,13.58,9.0,0.3,6.37,153.48
2020-05,416.18,1.42,14.14,9.0,0.3,5.6,166.14
2020-06,426.25,2.64,16.85,10.95,0.28,7.36,210.81
2020-07,453.33,2.93,18.28,14.12,0.31,8.37,273.91
2020-08,502.3,2.79,19.21,13.67,0.29,9.19,267.63
2020-09,417.09,3.07,21.55,14.09,0.28,9.23,212.35
2020-10,395.18,2.63,22.74,11.41,0.3,8.59,193.9
2020-11,464.53,4.63,26.31,12.92,0.31,9.0,173.66
2020-12,557.02,5.05,25.78,13.81,0.32,10.58,209.38
2021-01,459.67,5.92,27.76,13.76,0.32,12.47,210.85
2021-02,459.67,4.31,22.45,11.27,0.3,8.62,201.98
2021-03,483.23,4.34,23.38,12.13,0.33,9.83,171.63
2021-04,441.71,3.15,20.78,11.71,0.3,10.65,164.02
2021-05,441.34,1.41,15.92,8.94,0.3,9.48,181.3
2021-06,470.81,1.69,19.38,11.56,0.28,7.85,239.55
2021-07,513.24,1.74,18.43,13.71,0.31,9.5,274.7
2021-08,507.17,1.08,17.31,11.49,0.29,8.11,277.84
2021-09,443.32,2.29,23.01,13.78,0.28,9.41,220.0
2021-10,419.47,2.67,21.91,12.95,0.3,7.53,197.36
2021-11,455.76,5.79,27.52,16.15,0.31,10.03,182.59
2021-12,532.55,5.59,26.71,15.84,0.32,10.58,190.58
2022-01,484.16,6.29,27.04,15.97,0.32,11.07,227.68
2022-02,484.16,4.6,20.34,13.84,0.3,6.02,188.81
2022-03,457.35,5.16,27.5,15.37,0.33,9.86,176.39
2022-04,390.86,3.39,20.99,11.42,0.3,9.61,163.45
