model_type,features_used,train_rmse,val_rmse,train_mape (%),val_mape (%)
arima,N/A,109923.40658546968,100010.27808468348,178.59886498870873,37.97175294733712
sarimax,"['#9_Lag_1', '#12_RollingMean_3', '#6_Lag_1', '#9_RollingMean_12', 'Clean_Fra', '#20_Lag_1']",141843.7251412892,310491.6699986307,596.7264621117938,112.72674838532764
prophet,N/A,,115556.51978945055,,43.81165654058138
OrthogonalMatchingPursuit,"['#9_Lag_1', '#12_RollingMean_3', '#6_Lag_1', '#9_RollingMean_12', 'Clean_Fra', '#20_Lag_1']",80962.9180507581,113676.5420743889,479.3844181296074,40.13469441482461
arima,N/A,109923.40658546968,100010.27808468348,178.59886498870873,37.97175294733712
sarimax,"['#9_Lag_1', '#12_RollingMean_3', '#9_RollingMean_12', 'Clean_Fra', '#20_Lag_1']",94692.900253852,213569.83922524517,441.97328618395744,82.42590139380445
prophet,N/A,,115556.51978945055,,43.81165654058138
RANSACRegressor,"['#9_Lag_1', '#12_RollingMean_3', '#9_RollingMean_12', 'Clean_Fra', '#20_Lag_1']",111157.14333703903,112536.18780231991,443.42688720277056,35.81029708616085
arima,N/A,109923.40658546968,100010.27808468348,178.59886498870873,37.97175294733712
sarimax,"['#12_Lag_12', '#12_Lag_3', '#12_RollingMean_3', '#9_RollingMean_12', '#14_Lag_1', '#36_Lag_12', '#20_Lag_1', '#16_Lag_3']",92870.92309912245,150148.953914382,260.3364936223596,55.35012351440408
prophet,N/A,,115556.51978945055,,43.81165654058138
ExtraTreeRegressor,"['#12_Lag_12', '#12_Lag_3', '#12_RollingMean_3', '#9_RollingMean_12', '#14_Lag_1', '#36_Lag_12', '#20_Lag_1', '#16_Lag_3']",0.0,99271.17128609258,0.0,28.536527581454813
XGBoost,"['#9_Lag_1', '#12_RollingMean_3', '#6_Lag_1', '#9_RollingMean_12', 'Clean_Fra', '#20_Lag_1']",0.028596543153826974,133899.03587404953,7.024685828582733e-05,43.78533661365509
SVR,"['#9_Lag_1', '#12_RollingMean_3', '#6_Lag_1', '#9_RollingMean_12', 'Clean_Fra', '#20_Lag_1']",131394.44801232195,185971.86288245945,710.2574292653027,45.659351998871834
SVR,"['#9_Lag_1', '#12_RollingMean_3', '#6_Lag_1', '#9_RollingMean_12', 'Clean_Fra', '#20_Lag_1']",131394.44801232195,185971.86288245945,710.2574292653027,45.659351998871834
