model_type,features_used,train_rmse,val_rmse,train_mape (%),val_mape (%)
arima,N/A,1038601.9866566452,1047482.7768420703,322.9612850151618,94.64307831153937
sarimax,"['#3_Lag_1', '#14_Lag_1', 'UK EE Producer Prices', 'Fossil_Ita']",951747.5961124959,1574029.5895182895,164.12019150532655,77.86755991182483
prophet,N/A,,810006.4520385134,,70.02945837355958
LGBMRegressor,"['#3_Lag_1', '#14_Lag_1', 'UK EE Producer Prices', 'Fossil_Ita']",951205.2848835416,1037376.6512889042,323.52588941726975,96.00615480454978
arima,N/A,1038601.9866566452,1047482.7768420703,322.9612850151618,94.64307831153937
sarimax,"['#3_Lag_1', '#14_Lag_1', 'UK EE Producer Prices']",1116493.0266605243,1265760.832291922,222.3128741382078,58.549345084898086
prophet,N/A,,810006.4520385134,,70.02945837355958
LGBMRegressor,"['#3_Lag_1', '#14_Lag_1', 'UK EE Producer Prices']",951205.2848835416,1037376.6512889042,323.52588941726975,96.00615480454978
arima,N/A,1038601.9866566452,1047482.7768420703,322.9612850151618,94.64307831153937
sarimax,['#9_RollingMean_12'],1193558.7185145263,712108.032214484,327.71265542661314,72.25337495518187
prophet,N/A,,810006.4520385134,,70.02945837355958
KNeighborsRegressor,['#9_RollingMean_12'],808412.5587914422,933164.4052414693,278.86863061518164,118.68943300046695
XGBoost,"['#3_Lag_1', '#14_Lag_1', 'UK EE Producer Prices', 'Fossil_Ita']",0.2270055418167795,1214907.2243492506,2.6990116452907387e-05,73.11270833015442
SVR,"['#3_Lag_1', '#14_Lag_1', 'UK EE Producer Prices', 'Fossil_Ita']",975162.6472676327,1137205.043058127,271.82592930049697,84.0160539779776
SVR,"['#3_Lag_1', '#14_Lag_1', 'UK EE Producer Prices', 'Fossil_Ita']",975162.6472676327,1137205.043058127,271.82592930049697,84.0160539779776
SVR,"['#3_Lag_1', '#14_Lag_1', 'UK EE Producer Prices', 'Fossil_Ita']",975162.6472676327,1137205.043058127,271.82592930049697,84.0160539779776
SVR,"['#3_Lag_1', '#14_Lag_1', 'UK EE Producer Prices', 'Fossil_Ita']",1710401.9138365665,2056174.1103737033,99.98394667302215,99.99359870359524
arima,N/A,1038601.9866566452,1047482.7768420703,322.9612850151618,94.64307831153937
sarimax,"['#1_Lag_1', 'BC_CHI_Lag_12', 'GerHolidayCount', '#11_Lag_1_RollingMean3', '#9_Lag_1_RollingMean3', '#9_Lag_12_RollingMean3', '#12_Lag_3', 'FRA EE Producer Prices_Lag_12_RollingMean6', '#14_Lag_1', '#3_Lag_1_RollingMean6', '#1_Lag_1_RollingMean3', '#4_Lag_6', '#12_Lag_1', '#8_Lag_1_RollingMean3', 'stock_price_Lag_12_RollingMean3', 'Fossil_Fra_Lag_12', '#3_Lag_1']",936282.4510898003,3760908.4943181253,213.8527111292404,479.33685217489466
prophet,N/A,,810006.4520385134,,70.02945837355958
XGBoost,"['#1_Lag_1', 'BC_CHI_Lag_12', 'GerHolidayCount', '#11_Lag_1_RollingMean3', '#9_Lag_1_RollingMean3', '#9_Lag_12_RollingMean3', '#12_Lag_3', 'FRA EE Producer Prices_Lag_12_RollingMean6', '#14_Lag_1', '#3_Lag_1_RollingMean6', '#1_Lag_1_RollingMean3', '#4_Lag_6', '#12_Lag_1', '#8_Lag_1_RollingMean3', 'stock_price_Lag_12_RollingMean3', 'Fossil_Fra_Lag_12', '#3_Lag_1']",0.2072938027982696,1104525.8175054125,2.935334464382322e-05,118.92977952957153
ExtraTreesRegressor,"['#1_Lag_1', 'BC_CHI_Lag_12', 'GerHolidayCount', '#11_Lag_1_RollingMean3', '#9_Lag_1_RollingMean3', '#9_Lag_12_RollingMean3', '#12_Lag_3', 'FRA EE Producer Prices_Lag_12_RollingMean6', '#14_Lag_1', '#3_Lag_1_RollingMean6', '#1_Lag_1_RollingMean3', '#4_Lag_6', '#12_Lag_1', '#8_Lag_1_RollingMean3', 'stock_price_Lag_12_RollingMean3', 'Fossil_Fra_Lag_12', '#3_Lag_1']",1.962763985386388e-09,812446.8598528326,9.3430065880477e-14,69.15433888744636
